Sku,"Global Unique Id",Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_700-watt)","Attribute Value (pa_700-watt)","Attribute In Variations (pa_700-watt)","Attribute Is Visible (pa_700-watt)","Attribute Is Taxonomy (pa_700-watt)","Attribute Name (pa_btu)","Attribute Value (pa_btu)","Attribute In Variations (pa_btu)","Attribute Is Visible (pa_btu)","Attribute Is Taxonomy (pa_btu)","Attribute Name (pa_hvac-attribute)","Attribute Value (pa_hvac-attribute)","Attribute In Variations (pa_hvac-attribute)","Attribute Is Visible (pa_hvac-attribute)","Attribute Is Taxonomy (pa_hvac-attribute)","Attribute Name (pa_hvac-component)","Attribute Value (pa_hvac-component)","Attribute In Variations (pa_hvac-component)","Attribute Is Visible (pa_hvac-component)","Attribute Is Taxonomy (pa_hvac-component)","Attribute Name (pa_refrigerant)","Attribute Value (pa_refrigerant)","Attribute In Variations (pa_refrigerant)","Attribute Is Visible (pa_refrigerant)","Attribute Is Taxonomy (pa_refrigerant)","Attribute Name (pa_technology)","Attribute Value (pa_technology)","Attribute In Variations (pa_technology)","Attribute Is Visible (pa_technology)","Attribute Is Taxonomy (pa_technology)","Attribute Name (pa_voltage)","Attribute Value (pa_voltage)","Attribute In Variations (pa_voltage)","Attribute Is Visible (pa_voltage)","Attribute Is Taxonomy (pa_voltage)","Attribute Name (pa_wattage)","Attribute Value (pa_wattage)","Attribute In Variations (pa_wattage)","Attribute Is Visible (pa_wattage)","Attribute Is Taxonomy (pa_wattage)","Product Type","Shipping Class","Product Visibility","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
,,9475.00,9475.00,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/SRB4_20kwh_1_1500x.webp|https://jan-garay.com/wp-content/uploads/2025/04/2_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/SRB4_showing_batteries_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/SRB4_Cabinet_0adef735-db99-4b55-a3c8-8b761f3fb16c_1066x.webp|https://jan-garay.com/wp-content/uploads/2025/04/6_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/5_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/4_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/4_68bb498a-e419-461e-886c-8a4f9c5e71c9_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/3_ccbcf702-7a46-46b1-ac2b-eae33f02e155_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/3_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/1_720x.webp,SRB4_20kwh_1_1500x.webp|2_720x.webp|SRB4_showing_batteries_720x.webp|SRB4_Cabinet_0adef735-db99-4b55-a3c8-8b761f3fb16c_1066x.webp|6_720x.webp|5_720x.webp|4_720x.webp|4_68bb498a-e419-461e-886c-8a4f9c5e71c9_720x.webp|3_ccbcf702-7a46-46b1-ac2b-eae33f02e155_720x.webp|3_720x.webp|1_720x.webp,/srv/htdocs/wp-content/uploads/2025/04/SRB4_20kwh_1_1500x.webp|/srv/htdocs/wp-content/uploads/2025/04/2_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/SRB4_showing_batteries_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/SRB4_Cabinet_0adef735-db99-4b55-a3c8-8b761f3fb16c_1066x.webp|/srv/htdocs/wp-content/uploads/2025/04/6_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/5_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/4_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/4_68bb498a-e419-461e-886c-8a4f9c5e71c9_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/3_ccbcf702-7a46-46b1-ac2b-eae33f02e155_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/3_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/1_720x.webp,4196|4189|4198|4197|4195|4194|4193|4192|4191|4190|4188,SRB4_20kwh_1_1500x|2_720x|SRB4_showing_batteries_720x|SRB4_Cabinet_0adef735-db99-4b55-a3c8-8b761f3fb16c_1066x|6_720x|5_720x|4_720x|4_68bb498a-e419-461e-886c-8a4f9c5e71c9_720x|3_ccbcf702-7a46-46b1-ac2b-eae33f02e155_720x|3_720x|1_720x,||||||||||,||||||||||,"SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A|SRB4 Battery Kit | up to 20 kWh | SR5K-UL Batteries with SRB4 Battery Cabinet | Outdoor-Rated | UL1973 UL9540A",https://jan-garay.com/wp-content/uploads/2025/04/SRB4_20kwh_1_1500x.webp
,,12822.50,12822.50,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/SRB630kwh_1500x.webp|https://jan-garay.com/wp-content/uploads/2025/04/2_720x-1.webp|https://jan-garay.com/wp-content/uploads/2025/04/6_720x-1.webp|https://jan-garay.com/wp-content/uploads/2025/04/5_720x-1.webp|https://jan-garay.com/wp-content/uploads/2025/04/5_8ec4b30f-dccc-4260-b31a-7aaae61132db_1500x.webp|https://jan-garay.com/wp-content/uploads/2025/04/4_720x-1.webp|https://jan-garay.com/wp-content/uploads/2025/04/4_37baf1c5-28e8-4fda-afa6-4932cd98b2b4_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/3_8997d3ac-c2d7-4e14-9354-45ed22b10862_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/3_720x-1.webp|https://jan-garay.com/wp-content/uploads/2025/04/2_f4e73644-c995-4e94-9cf3-e5650af4042f_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/1_0c16ca98-78b9-443a-8309-ad8ab5c83a85_720x.webp|https://jan-garay.com/wp-content/uploads/2025/04/1_1500x.webp,SRB630kwh_1500x.webp|2_720x-1.webp|6_720x-1.webp|5_720x-1.webp|5_8ec4b30f-dccc-4260-b31a-7aaae61132db_1500x.webp|4_720x-1.webp|4_37baf1c5-28e8-4fda-afa6-4932cd98b2b4_720x.webp|3_8997d3ac-c2d7-4e14-9354-45ed22b10862_720x.webp|3_720x-1.webp|2_f4e73644-c995-4e94-9cf3-e5650af4042f_720x.webp|1_0c16ca98-78b9-443a-8309-ad8ab5c83a85_720x.webp|1_1500x.webp,/srv/htdocs/wp-content/uploads/2025/04/SRB630kwh_1500x.webp|/srv/htdocs/wp-content/uploads/2025/04/2_720x-1.webp|/srv/htdocs/wp-content/uploads/2025/04/6_720x-1.webp|/srv/htdocs/wp-content/uploads/2025/04/5_720x-1.webp|/srv/htdocs/wp-content/uploads/2025/04/5_8ec4b30f-dccc-4260-b31a-7aaae61132db_1500x.webp|/srv/htdocs/wp-content/uploads/2025/04/4_720x-1.webp|/srv/htdocs/wp-content/uploads/2025/04/4_37baf1c5-28e8-4fda-afa6-4932cd98b2b4_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/3_8997d3ac-c2d7-4e14-9354-45ed22b10862_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/3_720x-1.webp|/srv/htdocs/wp-content/uploads/2025/04/2_f4e73644-c995-4e94-9cf3-e5650af4042f_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/1_0c16ca98-78b9-443a-8309-ad8ab5c83a85_720x.webp|/srv/htdocs/wp-content/uploads/2025/04/1_1500x.webp,4210|4201|4209|4208|4207|4206|4205|4204|4203|4202|4199|4200,"SRB630kwh_1500x|2_720x (1)|6_720x (1)|5_720x (1)|5_8ec4b30f-dccc-4260-b31a-7aaae61132db_1500x|4_720x (1)|4_37baf1c5-28e8-4fda-afa6-4932cd98b2b4_720x|3_8997d3ac-c2d7-4e14-9354-45ed22b10862_720x|3_720x (1)|2_f4e73644-c995-4e94-9cf3-e5650af4042f_720x|1_0c16ca98-78b9-443a-8309-ad8ab5c83a85_720x|1_1500x",|||||||||||,|||||||||||,"SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A|SRB6 Battery Kit | up to 30 kWh | SR5K-UL Batteries with SRB6 Battery Cabinet | Outdoor-Rated | UL1973 UL9540 UL9540A",https://jan-garay.com/wp-content/uploads/2025/04/SRB630kwh_1500x.webp
,,2000.00,2000.00,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/04/1_400x.webp|https://jan-garay.com/wp-content/uploads/2025/04/2_400x.webp|https://jan-garay.com/wp-content/uploads/2025/04/3_400x.webp|https://jan-garay.com/wp-content/uploads/2025/04/4_400x.webp|https://jan-garay.com/wp-content/uploads/2025/04/5_400x.webp|https://jan-garay.com/wp-content/uploads/2025/04/6_400x.webp,1_400x.webp|2_400x.webp|3_400x.webp|4_400x.webp|5_400x.webp|6_400x.webp,/srv/htdocs/wp-content/uploads/2025/04/1_400x.webp|/srv/htdocs/wp-content/uploads/2025/04/2_400x.webp|/srv/htdocs/wp-content/uploads/2025/04/3_400x.webp|/srv/htdocs/wp-content/uploads/2025/04/4_400x.webp|/srv/htdocs/wp-content/uploads/2025/04/5_400x.webp|/srv/htdocs/wp-content/uploads/2025/04/6_400x.webp,4176|4177|4179|4180|4181|4182,1_400x|2_400x|3_400x|4_400x|5_400x|6_400x,|||||,|||||,"SRB2 Battery Kit | Up to 10 kWh | SR5K-UL Batteries with SRB2 Battery Cabinet | Outdoor-Rated | UL 1973 UL9540A|SRB2 Battery Kit | Up to 10 kWh | SR5K-UL Batteries with SRB2 Battery Cabinet | Outdoor-Rated | UL 1973 UL9540A|SRB2 Battery Kit | Up to 10 kWh | SR5K-UL Batteries with SRB2 Battery Cabinet | Outdoor-Rated | UL 1973 UL9540A|SRB2 Battery Kit | Up to 10 kWh | SR5K-UL Batteries with SRB2 Battery Cabinet | Outdoor-Rated | UL 1973 UL9540A|SRB2 Battery Kit | Up to 10 kWh | SR5K-UL Batteries with SRB2 Battery Cabinet | Outdoor-Rated | UL 1973 UL9540A|SRB2 Battery Kit | Up to 10 kWh | SR5K-UL Batteries with SRB2 Battery Cabinet | Outdoor-Rated | UL 1973 UL9540A",https://jan-garay.com/wp-content/uploads/2025/04/1_400x.webp
,,3499,3499,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/12kPV_right__36708.jpg|https://jan-garay.com/wp-content/uploads/2025/04/EG4_12KPV_ALL-IN-ONE_HYBRID_INVERTER_-_Web_Ready__60184.jpg|https://jan-garay.com/wp-content/uploads/2025/04/12kPV_left__60113.jpg|https://jan-garay.com/wp-content/uploads/2025/04/EG4_12KPV_ALL-IN-ONE_HYBRID_INVERTER_1__24723.jpg,12kPV_right__36708.jpg|EG4_12KPV_ALL-IN-ONE_HYBRID_INVERTER_-_Web_Ready__60184.jpg|12kPV_left__60113.jpg|EG4_12KPV_ALL-IN-ONE_HYBRID_INVERTER_1__24723.jpg,/srv/htdocs/wp-content/uploads/2025/04/12kPV_right__36708.jpg|/srv/htdocs/wp-content/uploads/2025/04/EG4_12KPV_ALL-IN-ONE_HYBRID_INVERTER_-_Web_Ready__60184.jpg|/srv/htdocs/wp-content/uploads/2025/04/12kPV_left__60113.jpg|/srv/htdocs/wp-content/uploads/2025/04/EG4_12KPV_ALL-IN-ONE_HYBRID_INVERTER_1__24723.jpg,4212|4213|4211|4214,12kPV_right__36708|EG4_12KPV_ALL-IN-ONE_HYBRID_INVERTER_-_Web_Ready__60184|12kPV_left__60113|EG4_12KPV_ALL-IN-ONE_HYBRID_INVERTER_1__24723,|||,|||,"EG4 12kPV Hybrid Inverter | 48V | 12000W Input | 8000W Output | 120/240V Split Phase | RSD | All-In-One Hybrid Solar Inverter|EG4 12kPV Hybrid Inverter | 48V | 12000W Input | 8000W Output | 120/240V Split Phase | RSD | All-In-One Hybrid Solar Inverter|EG4 12kPV Hybrid Inverter | 48V | 12000W Input | 8000W Output | 120/240V Split Phase | RSD | All-In-One Hybrid Solar Inverter|EG4 12kPV Hybrid Inverter | 48V | 12000W Input | 8000W Output | 120/240V Split Phase | RSD | All-In-One Hybrid Solar Inverter",https://jan-garay.com/wp-content/uploads/2025/04/12kPV_right__36708.jpg
,,4898,4898,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Right-Tilt.webp|https://jan-garay.com/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Open.webp|https://jan-garay.com/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Left-Tilt.webp|https://jan-garay.com/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Front.webp,EG4-18kPV-Hybrid-Inverter-Right-Tilt.webp|EG4-18kPV-Hybrid-Inverter-Open.webp|EG4-18kPV-Hybrid-Inverter-Left-Tilt.webp|EG4-18kPV-Hybrid-Inverter-Front.webp,/srv/htdocs/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Right-Tilt.webp|/srv/htdocs/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Open.webp|/srv/htdocs/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Left-Tilt.webp|/srv/htdocs/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Front.webp,4219|4218|4217|4216,EG4-18kPV-Hybrid-Inverter-Right-Tilt|EG4-18kPV-Hybrid-Inverter-Open|EG4-18kPV-Hybrid-Inverter-Left-Tilt|EG4-18kPV-Hybrid-Inverter-Front,|||,|||,"EG4 18kPV Hybrid Inverter | EG4-18kPV-12LV | 48V Split Phase 120/240VAC | UL1741, CEC|EG4 18kPV Hybrid Inverter | EG4-18kPV-12LV | 48V Split Phase 120/240VAC | UL1741, CEC|EG4 18kPV Hybrid Inverter | EG4-18kPV-12LV | 48V Split Phase 120/240VAC | UL1741, CEC|EG4 18kPV Hybrid Inverter | EG4-18kPV-12LV | 48V Split Phase 120/240VAC | UL1741, CEC",https://jan-garay.com/wp-content/uploads/2025/04/EG4-18kPV-Hybrid-Inverter-Right-Tilt.webp
,,1669.95,1669.95,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter-Front.webp|https://jan-garay.com/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter-Left-Tilt.webp|https://jan-garay.com/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter-Right-Tilt.webp|https://jan-garay.com/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter.webp,EG4®-6000XP-All-In-One-Off-Grid-Inverter-Front.webp|EG4®-6000XP-All-In-One-Off-Grid-Inverter-Left-Tilt.webp|EG4®-6000XP-All-In-One-Off-Grid-Inverter-Right-Tilt.webp|EG4®-6000XP-All-In-One-Off-Grid-Inverter.webp,/srv/htdocs/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter-Front.webp|/srv/htdocs/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter-Left-Tilt.webp|/srv/htdocs/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter-Right-Tilt.webp|/srv/htdocs/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter.webp,4221|4222|4223|4220,EG4®-6000XP-All-In-One-Off-Grid-Inverter-Front|EG4®-6000XP-All-In-One-Off-Grid-Inverter-Left-Tilt|EG4®-6000XP-All-In-One-Off-Grid-Inverter-Right-Tilt|EG4®-6000XP-All-In-One-Off-Grid-Inverter,|||,|||,"EG4 6000XP Off-Grid Inverter | 8000W PV Input | 6000W Output | 48V VOC Input | 48V 120/240V Split Phase | All-In-One Solar Inverter|EG4 6000XP Off-Grid Inverter | 8000W PV Input | 6000W Output | 48V VOC Input | 48V 120/240V Split Phase | All-In-One Solar Inverter|EG4 6000XP Off-Grid Inverter | 8000W PV Input | 6000W Output | 48V VOC Input | 48V 120/240V Split Phase | All-In-One Solar Inverter|EG4 6000XP Off-Grid Inverter | 8000W PV Input | 6000W Output | 48V VOC Input | 48V 120/240V Split Phase | All-In-One Solar Inverter",https://jan-garay.com/wp-content/uploads/2025/04/EG4®-6000XP-All-In-One-Off-Grid-Inverter-Front.webp
,,3782.16,3782.16,,instock,,,0,">700 WATT",,no,no,no,BTU,,no,no,no,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,,no,no,no,Technology,MonoFacial,no,yes,yes,Voltage,,no,no,no,Wattage,400W-500W,no,yes,yes,simple,"LTL Freight - 150+",visible,https://jan-garay.com/wp-content/uploads/2025/04/Screenshot-2025-04-02-at-10.01.53.png|https://jan-garay.com/wp-content/uploads/2025/04/Resun-Solar-Panel.jpeg,Screenshot-2025-04-02-at-10.01.53.png|Resun-Solar-Panel.jpeg,/srv/htdocs/wp-content/uploads/2025/04/Screenshot-2025-04-02-at-10.01.53.png|/srv/htdocs/wp-content/uploads/2025/04/Resun-Solar-Panel.jpeg,4313|4312,"Screenshot 2025-04-02 at 10.01.53|Resun Solar Panel",|,|,|,https://jan-garay.com/wp-content/uploads/2025/04/Screenshot-2025-04-02-at-10.01.53.png
,,1116.50,1116.50,,instock,,,0,">700 WATT",,no,no,no,BTU,9K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,R-454B,no,yes,yes,Technology,,no,no,no,Voltage,220,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg|https://jan-garay.com/wp-content/uploads/2025/04/Midea-U-Match-6K-9k-12k-and-18K.png,Midea-6K-9k-12k-and-18K.jpg|Midea-U-Match-6K-9k-12k-and-18K.png,/srv/htdocs/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg|/srv/htdocs/wp-content/uploads/2025/04/Midea-U-Match-6K-9k-12k-and-18K.png,4684|4315,"Midea-6K-9k-12k-and-18K|Midea U-Match 6K, 9k, 12k and 18K",|,|,"Midea Light Commercial Single Zone 9K BTU 220V 22 SEER2 Outdoor|Midea Light Commercial Single Zone 9K BTU 220V 22 SEER2 Outdoor",https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg
,,1207.13,1207.13,,outofstock,,,0,">700 WATT",,no,no,no,BTU,12K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,R-454B,no,yes,yes,Technology,,no,no,no,Voltage,220,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,Midea-6K-9k-12k-and-18K.jpg,/srv/htdocs/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,4684,Midea-6K-9k-12k-and-18K,,,"Midea Light Commercial Single Zone 9K BTU 220V 22 SEER2 Outdoor",https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg
,,1486.25,1486.25,,instock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,R-454B,no,yes,yes,Technology,,no,no,no,Voltage,220,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,Midea-6K-9k-12k-and-18K.jpg,/srv/htdocs/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,4684,Midea-6K-9k-12k-and-18K,,,"Midea Light Commercial Single Zone 9K BTU 220V 22 SEER2 Outdoor",https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg
,,1841.50,1841.50,,instock,,,0,">700 WATT",,no,no,no,BTU,24K,no,yes,yes,"HVAC Attribute",,no,no,no,"HVAC Component",,no,no,no,Refrigerant,R-454B,no,yes,yes,Technology,,no,no,no,Voltage,220,no,yes,yes,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,Midea-6K-9k-12k-and-18K.jpg,/srv/htdocs/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,4684,Midea-6K-9k-12k-and-18K,,,"Midea Light Commercial Single Zone 9K BTU 220V 22 SEER2 Outdoor",https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg
,,2091.63,2091.63,,instock,,,0,">700 WATT",,no,no,no,BTU,18K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Condenser,no,yes,yes,Refrigerant,R-454B,no,yes,yes,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,Midea-6K-9k-12k-and-18K.jpg,/srv/htdocs/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,4684,Midea-6K-9k-12k-and-18K,,,"Midea Light Commercial Single Zone 9K BTU 220V 22 SEER2 Outdoor",https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg
,,2755.00,2755.00,,instock,,,0,">700 WATT",,no,no,no,BTU,27K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Condenser,no,yes,yes,Refrigerant,R-454B,no,yes,yes,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,Midea-6K-9k-12k-and-18K.jpg,/srv/htdocs/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,4684,Midea-6K-9k-12k-and-18K,,,"Midea Light Commercial Single Zone 9K BTU 220V 22 SEER2 Outdoor",https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg
,,3846.13,3846.13,,instock,,,0,">700 WATT",,no,no,no,BTU,36K,no,yes,yes,"HVAC Attribute",Condenser,no,yes,yes,"HVAC Component",Condenser,no,yes,yes,Refrigerant,R-454B,no,yes,yes,Technology,,no,no,no,Voltage,,no,no,no,Wattage,,no,no,no,simple,"Regular Shipping - Under 150",visible,https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,Midea-6K-9k-12k-and-18K.jpg,/srv/htdocs/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg,4684,Midea-6K-9k-12k-and-18K,,,"Midea Light Commercial Single Zone 9K BTU 220V 22 SEER2 Outdoor",https://jan-garay.com/wp-content/uploads/2025/05/Midea-6K-9k-12k-and-18K.jpg
